uuid,latitude,longitude,altitude,speed,timestamp
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571094,-52.734079,63.291878,-1,2017-07-14 13:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.568872,-52.73409,72.342346,5.55,2017-07-14 16:29
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.569078,-52.734421,58.217102,-1,2017-07-14 16:29
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570325,-52.731555,44.922607,10.9,2017-07-14 16:30
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.569977,-52.732192,46.451965,2.78,2017-07-14 16:30
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.569649,-52.732728,50.910278,11.02,2017-07-14 16:30
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.569244,-52.73342,54.461304,10.28,2017-07-14 16:30
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574508,-52.72466,44.062439,12.18,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574125,-52.725201,45.57135,12.53,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573612,-52.725757,46.95752,12.85,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573187,-52.726273,48.128662,12.64,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.572682,-52.72698,43.232239,13.52,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.572344,-52.727657,44.173401,12.97,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.572056,-52.72821,45.051819,13.64,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571737,-52.72883,45.033203,13.9,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571397,-52.729492,42.966064,11.6,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571015,-52.730247,41.09082,12.44,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570622,-52.731004,44.717896,12.01,2017-07-14 16:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574684,-52.723446,43.99823,0.69,2017-07-14 16:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574491,-52.723268,43.722046,2.53,2017-07-14 16:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574396,-52.722822,43.51532,3.25,2017-07-14 16:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.57443,-52.722435,43.949402,4.65,2017-07-14 16:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.575092,-52.723271,43.750549,6,2017-07-14 16:32
