uuid,date,weekday,time,count,max,mean
Device_1,2017-07-15,Saturday,01:34:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,01:35:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,10:03:00,1,0.97,0.97
Device_1,2017-07-15,Saturday,10:04:00,3,1.37,0.89
Device_1,2017-07-15,Saturday,10:05:00,3,1.28,1.25
Device_1,2017-07-15,Saturday,11:39:00,7,13.86,10.96
Device_1,2017-07-15,Saturday,11:40:00,11,14.64,13.65
Device_1,2017-07-15,Saturday,11:41:00,6,14.46,12.26
Device_1,2017-07-15,Saturday,11:42:00,9,14.68,13.58
Device_1,2017-07-15,Saturday,11:43:00,9,14.88,12.69
Device_1,2017-07-15,Saturday,11:44:00,12,17.21,15.26
Device_1,2017-07-15,Saturday,11:45:00,12,19.18,17.46
Device_1,2017-07-15,Saturday,11:46:00,12,16.88,15.29
Device_1,2017-07-15,Saturday,11:47:00,12,15.79,14.06
Device_1,2017-07-15,Saturday,11:48:00,9,17.03,12.3
Device_1,2017-07-15,Saturday,11:49:00,9,13.51,9.51
Device_1,2017-07-15,Saturday,11:50:00,6,7.83,5.93
Device_1,2017-07-15,Saturday,11:53:00,3,1.31,0.44
Device_1,2017-07-15,Saturday,11:54:00,2,1.67,1.48
Device_1,2017-07-15,Saturday,11:55:00,2,4.48,2.4
Device_1,2017-07-15,Saturday,11:56:00,1,0.19,0.19
Device_1,2017-07-15,Saturday,11:58:00,2,0.0,0.0
Device_1,2017-07-15,Saturday,11:59:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,12:00:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,12:01:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,12:03:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,12:04:00,1,1.89,1.89
Device_1,2017-07-15,Saturday,15:28:00,1,0.0,0.0
Device_1,2017-07-15,Saturday,16:05:00,2,4.76,2.76
Device_1,2017-07-15,Saturday,16:06:00,1,1.01,1.01
Device_1,2017-07-15,Saturday,16:07:00,3,3.01,2.15
Device_1,2017-07-15,Saturday,16:08:00,10,15.25,10.2
Device_1,2017-07-15,Saturday,16:09:00,11,14.46,12.31
Device_1,2017-07-15,Saturday,16:10:00,10,12.87,11.26
Device_1,2017-07-15,Saturday,16:11:00,9,12.92,11.58
Device_1,2017-07-15,Saturday,16:12:00,11,14.28,12.28
Device_1,2017-07-15,Saturday,16:13:00,2,12.17,10.82
Device_1,2017-07-15,Saturday,16:14:00,11,14.26,12.49
Device_1,2017-07-15,Saturday,16:15:00,5,13.14,10.22
Device_1,2017-07-15,Saturday,16:16:00,12,14.84,11.6
Device_1,2017-07-15,Saturday,16:17:00,11,13.57,11.5
Device_1,2017-07-15,Saturday,16:18:00,5,11.53,10.11
Device_1,2017-07-15,Saturday,16:19:00,8,10.6,8.5
Device_1,2017-07-15,Saturday,16:20:00,8,9.56,5.75
Device_1,2017-07-15,Saturday,16:21:00,2,5.45,3.42
Device_1,2017-07-15,Saturday,16:22:00,1,0.54,0.54
Device_1,2017-07-15,Saturday,16:24:00,1,1.05,1.05
Device_1,2017-07-15,Saturday,16:25:00,1,1.06,1.06
Device_1,2017-07-16,Sunday,00:28:00,1,0.0,0.0
Device_1,2017-07-16,Sunday,02:10:00,1,0.0,0.0
Device_1,2017-07-16,Sunday,09:09:00,1,8.0,8.0
Device_1,2017-07-16,Sunday,09:10:00,12,16.19,13.9
Device_1,2017-07-16,Sunday,09:11:00,11,15.11,13.77
Device_1,2017-07-16,Sunday,09:12:00,8,14.01,11.51
Device_1,2017-07-16,Sunday,09:13:00,12,14.34,13.61
Device_1,2017-07-16,Sunday,09:14:00,10,14.84,11.01
Device_1,2017-07-16,Sunday,09:16:00,3,1.45,1.31
Device_1,2017-07-16,Sunday,09:18:00,2,1.09,0.99
Device_1,2017-07-16,Sunday,10:05:00,6,13.87,12.91
Device_1,2017-07-16,Sunday,10:06:00,8,13.64,7.47
Device_1,2017-07-16,Sunday,10:08:00,2,1.59,1.42
Device_1,2017-07-16,Sunday,10:09:00,1,1.43,1.43
Device_1,2017-07-16,Sunday,10:10:00,1,1.4,1.4
Device_1,2017-07-16,Sunday,10:12:00,1,3.2,3.2
Device_1,2017-07-16,Sunday,10:14:00,1,0.86,0.86
Device_1,2017-07-16,Sunday,10:16:00,1,0.0,0.0
Device_1,2017-07-16,Sunday,10:17:00,1,0.33,0.33
Device_1,2017-07-16,Sunday,10:18:00,1,0.29,0.29
Device_1,2017-07-16,Sunday,10:20:00,1,0.0,0.0
Device_1,2017-07-16,Sunday,10:21:00,1,1.66,1.66
Device_1,2017-07-16,Sunday,10:23:00,1,0.82,0.82
Device_1,2017-07-16,Sunday,10:24:00,2,1.51,1.32
Device_1,2017-07-16,Sunday,10:25:00,1,4.59,4.59
Device_1,2017-07-16,Sunday,10:26:00,4,9.43,5.76
Device_1,2017-07-16,Sunday,10:27:00,7,14.09,12.35
Device_1,2017-07-16,Sunday,10:28:00,13,14.68,13.7
Device_1,2017-07-16,Sunday,10:29:00,10,15.52,12.37
Device_1,2017-07-16,Sunday,10:30:00,9,12.55,7.7
Device_1,2017-07-16,Sunday,10:31:00,1,1.85,1.85
Device_1,2017-07-17,Monday,08:41:00,1,0.0,0.0
Device_1,2017-07-17,Monday,08:42:00,3,2.36,1.87
Device_1,2017-07-17,Monday,08:43:00,3,1.38,1.11
Device_1,2017-07-17,Monday,08:44:00,5,1.89,1.7
Device_1,2017-07-17,Monday,08:45:00,3,1.62,1.57
Device_1,2017-07-17,Monday,08:46:00,2,1.68,1.19
Device_1,2017-07-17,Monday,14:28:00,1,0.0,0.0
Device_1,2017-07-17,Monday,16:59:00,1,6.07,6.07
Device_1,2017-07-17,Monday,17:06:00,1,0.99,0.99
Device_1,2017-07-18,Tuesday,08:43:00,3,2.77,1.44
Device_1,2017-07-18,Tuesday,08:44:00,4,1.83,1.64
Device_1,2017-07-18,Tuesday,08:45:00,4,1.83,1.57
Device_1,2017-07-18,Tuesday,08:46:00,3,1.6,1.4
Device_1,2017-07-18,Tuesday,08:47:00,1,0.0,0.0
Device_1,2017-07-18,Tuesday,09:17:00,4,5.51,3.93
Device_1,2017-07-18,Tuesday,09:18:00,6,13.05,8.74
Device_1,2017-07-18,Tuesday,09:19:00,10,17.72,13.35
Device_1,2017-07-18,Tuesday,09:21:00,12,15.89,12.74
Device_1,2017-07-18,Tuesday,09:22:00,9,16.61,11.31
Device_1,2017-07-18,Tuesday,09:23:00,12,20.91,13.98
Device_1,2017-07-18,Tuesday,09:24:00,10,22.58,14.98
Device_1,2017-07-18,Tuesday,09:25:00,4,7.71,5.5
Device_1,2017-07-18,Tuesday,09:27:00,3,1.76,1.61
Device_1,2017-07-18,Tuesday,09:28:00,4,1.68,1.48
Device_1,2017-07-18,Tuesday,09:29:00,4,1.65,1.48
Device_1,2017-07-18,Tuesday,09:30:00,4,1.79,1.59
Device_1,2017-07-18,Tuesday,09:31:00,3,1.89,1.64
Device_1,2017-07-18,Tuesday,09:32:00,4,1.59,1.5
Device_1,2017-07-18,Tuesday,09:33:00,4,1.61,1.56
Device_1,2017-07-18,Tuesday,09:34:00,3,2.13,1.78
Device_1,2017-07-18,Tuesday,09:35:00,4,1.74,1.58
Device_1,2017-07-18,Tuesday,09:36:00,4,1.9,1.61
Device_1,2017-07-18,Tuesday,09:37:00,4,1.93,1.66
Device_1,2017-07-18,Tuesday,09:38:00,3,1.84,1.63
Device_1,2017-07-18,Tuesday,09:39:00,4,1.67,1.46
Device_1,2017-07-18,Tuesday,09:40:00,2,1.55,1.52
Device_1,2017-07-18,Tuesday,09:41:00,4,1.93,1.68
Device_1,2017-07-18,Tuesday,09:42:00,3,1.7,1.64
Device_1,2017-07-18,Tuesday,09:43:00,3,1.51,1.41
Device_1,2017-07-18,Tuesday,09:44:00,2,1.41,1.41
Device_1,2017-07-18,Tuesday,09:45:00,3,1.66,1.66
Device_1,2017-07-18,Tuesday,09:46:00,3,1.58,1.42
Device_1,2017-07-18,Tuesday,09:47:00,3,1.67,1.46
Device_1,2017-07-18,Tuesday,09:48:00,4,1.45,1.42
Device_1,2017-07-18,Tuesday,09:49:00,3,1.86,1.66
Device_1,2017-07-18,Tuesday,09:50:00,4,1.59,1.47
Device_1,2017-07-18,Tuesday,09:51:00,3,1.66,1.54
Device_1,2017-07-18,Tuesday,09:52:00,4,1.8,1.7
Device_1,2017-07-18,Tuesday,09:53:00,3,1.65,1.61
Device_1,2017-07-18,Tuesday,09:54:00,4,1.76,1.61
Device_1,2017-07-18,Tuesday,09:55:00,4,1.62,1.55
Device_1,2017-07-18,Tuesday,09:56:00,3,1.86,1.68
Device_1,2017-07-18,Tuesday,09:57:00,4,1.71,1.57
Device_1,2017-07-18,Tuesday,09:58:00,3,1.65,1.44
Device_1,2017-07-18,Tuesday,09:59:00,4,1.65,1.54
Device_1,2017-07-18,Tuesday,10:00:00,4,1.82,1.63
Device_1,2017-07-18,Tuesday,10:01:00,3,1.59,1.54
Device_1,2017-07-18,Tuesday,10:02:00,4,1.75,1.57
Device_1,2017-07-18,Tuesday,10:03:00,4,1.72,1.67
Device_1,2017-07-18,Tuesday,10:04:00,3,1.53,1.51
Device_1,2017-07-18,Tuesday,10:05:00,3,1.89,1.79
Device_1,2017-07-18,Tuesday,10:06:00,4,1.75,1.64
Device_1,2017-07-18,Tuesday,10:07:00,3,1.73,1.6
Device_1,2017-07-18,Tuesday,10:08:00,4,1.7,1.56
Device_1,2017-07-18,Tuesday,10:09:00,4,1.56,1.52
Device_1,2017-07-18,Tuesday,10:10:00,3,1.74,1.56
Device_1,2017-07-18,Tuesday,10:11:00,1,1.65,1.65
Device_1,2017-07-18,Tuesday,10:12:00,1,1.17,1.17
Device_1,2017-07-18,Tuesday,10:13:00,4,2.08,1.77
Device_1,2017-07-18,Tuesday,10:14:00,1,1.71,1.71
Device_1,2017-07-18,Tuesday,10:15:00,3,1.67,1.56
Device_1,2017-07-18,Tuesday,10:16:00,4,1.72,1.5
Device_1,2017-07-18,Tuesday,10:17:00,4,1.95,1.7
Device_1,2017-07-18,Tuesday,10:18:00,1,1.89,1.89
Device_1,2017-07-18,Tuesday,10:19:00,3,2.81,2.09
