,index,uuid,weekday,hour,count,max,mean,time
0,0,Device_1,Friday,8,3,0.51,0.17,2019-11-25 08:41:00
1,3,Device_1,Friday,13,7,2.7,0.8071428571428572,2019-11-25 13:05:00
2,10,Device_1,Friday,15,60,3.05,1.4068333333333334,2019-11-25 15:12:00
3,70,Device_1,Friday,16,25,4.2,1.7588000000000001,2019-11-25 16:52:00
4,95,Device_1,Monday,8,17,2.36,1.441764705882353,2019-11-25 08:41:00
5,112,Device_1,Monday,14,1,0.0,0.0,2019-11-25 14:28:00
6,113,Device_1,Monday,16,1,6.07,6.07,2019-11-25 16:59:00
7,114,Device_1,Monday,17,1,0.99,0.99,2019-11-25 17:06:00
8,115,Device_1,Saturday,1,2,0.0,0.0,2019-11-25 01:34:00
9,117,Device_1,Saturday,10,7,1.37,1.0528571428571427,2019-11-25 10:03:00
10,124,Device_1,Saturday,11,125,19.18,12.182640031999997,2019-11-25 11:39:00
11,249,Device_1,Saturday,12,4,1.89,0.4725,2019-11-25 12:00:00
12,253,Device_1,Saturday,15,1,0.0,0.0,2019-11-25 15:28:00
13,254,Device_1,Saturday,16,124,15.25,10.098629032258067,2019-11-25 16:05:00
14,378,Device_1,Sunday,0,1,0.0,0.0,2019-11-25 00:28:00
15,379,Device_1,Sunday,2,1,0.0,0.0,2019-11-25 02:10:00
16,380,Device_1,Sunday,9,59,16.190001000000002,11.825254237288137,2019-11-25 09:09:00
17,439,Device_1,Sunday,10,73,15.52,8.763013698630138,2019-11-25 10:05:00
18,512,Device_1,Thursday,8,21,2.71,1.5466666666666669,2019-11-25 08:42:00
19,533,Device_1,Thursday,9,1,0.0,0.0,2019-11-25 09:58:00
20,534,Device_1,Thursday,12,5,5.49,2.042,2019-11-25 12:07:00
21,539,Device_1,Thursday,16,20,3.02,1.6084999999999998,2019-11-25 16:42:00
22,559,Device_1,Tuesday,8,15,2.77,1.422666666666667,2019-11-25 08:43:00
23,574,Device_1,Tuesday,9,181,22.58,5.381491718232045,2019-11-25 09:17:00
24,755,Device_1,Tuesday,10,148,2.81,1.6210135135135135,2019-11-25 10:00:00
25,903,Device_1,Tuesday,11,115,2.8,1.562173913043479,2019-11-25 11:00:00
26,1018,Device_1,Tuesday,12,140,19.75,11.724214271428574,2019-11-25 12:06:00
27,1158,Device_1,Tuesday,13,11,1.58,0.7563636363636363,2019-11-25 13:30:00
28,1169,Device_1,Tuesday,14,13,5.41,1.8807692307692305,2019-11-25 14:23:00
29,1182,Device_1,Tuesday,16,5,1.51,0.5800000000000001,2019-11-25 16:16:00
30,1187,Device_1,Tuesday,20,20,2.29,1.4900000000000002,2019-11-25 20:10:00
31,1207,Device_1,Wednesday,8,16,1.66,1.1768750000000001,2019-11-25 08:42:00
32,1223,Device_1,Wednesday,9,27,17.690001000000002,11.634814888888892,2019-11-25 09:49:00
33,1250,Device_1,Wednesday,10,221,19.75,5.271855194570131,2019-11-25 10:00:00
34,1471,Device_1,Wednesday,11,189,2.4,1.6143386243386242,2019-11-25 11:00:00
35,1660,Device_1,Wednesday,12,42,2.62,1.5178571428571435,2019-11-25 12:08:00
36,1702,Device_1,Wednesday,13,136,5.91,1.6128676470588235,2019-11-25 13:00:00
37,1838,Device_1,Wednesday,14,232,20.379998999999998,8.454439620689653,2019-11-25 14:00:00
38,2070,Device_1,Wednesday,15,15,20.07,13.560666733333333,2019-11-25 15:00:00
39,2085,Device_1,Wednesday,16,20,2.63,1.706,2019-11-25 16:51:00
40,2105,Device_1,Wednesday,22,1,0.0,0.0,2019-11-25 22:14:00
41,2106,Device_2,Friday,8,243,30.92,14.791275674897122,2019-11-25 08:14:00
42,2349,Device_2,Friday,10,12,8.9,5.070833333333333,2019-11-25 10:55:00
43,2361,Device_2,Friday,11,55,12.66,6.617090909090906,2019-11-25 11:07:00
44,2416,Device_2,Friday,15,177,30.540001,11.446666694915251,2019-11-25 15:16:00
45,2593,Device_2,Friday,16,133,30.48,12.148045030075188,2019-11-25 16:02:00
46,2726,Device_2,Friday,17,42,14.32,7.618809523809523,2019-11-25 17:00:00
47,2768,Device_2,Monday,8,134,10.02,5.6120895522388095,2019-11-25 08:05:00
48,2902,Device_2,Monday,16,276,10.39,4.93173913043478,2019-11-25 16:16:00
49,3178,Device_2,Monday,17,2,0.0,0.0,2019-11-25 17:03:00
50,3180,Device_2,Monday,19,8,0.0,0.0,2019-11-25 19:55:00
51,3188,Device_2,Monday,20,32,13.14,6.49,2019-11-25 20:00:00
52,3220,Device_2,Monday,21,120,13.72,8.947833333333335,2019-11-25 21:08:00
53,3340,Device_2,Saturday,9,41,2.66,1.397073170731707,2019-11-25 09:28:00
54,3381,Device_2,Saturday,10,50,2.58,1.5900000000000003,2019-11-25 10:06:00
55,3431,Device_2,Saturday,14,183,18.219998999999998,11.715792322404376,2019-11-25 14:25:00
56,3614,Device_2,Saturday,15,196,31.59,20.2602550765306,2019-11-25 15:44:00
57,3810,Device_2,Saturday,16,37,13.06,3.8124324324324323,2019-11-25 16:00:00
58,3847,Device_2,Saturday,17,188,19.969998999999998,12.747021255319147,2019-11-25 17:00:00
59,4035,Device_2,Sunday,9,185,22.379998999999998,14.300324302702695,2019-11-25 09:31:00
60,4220,Device_2,Sunday,10,2,1.14,1.055,2019-11-25 10:04:00
61,4222,Device_2,Sunday,12,246,21.75,16.270731707317076,2019-11-25 12:36:00
62,4468,Device_2,Sunday,13,180,16.59,9.205777777777772,2019-11-25 13:00:00
63,4648,Device_2,Sunday,14,72,13.02,9.478888888888894,2019-11-25 14:38:00
64,4720,Device_2,Thursday,8,77,11.0,4.9467532467532465,2019-11-25 08:24:00
65,4797,Device_2,Thursday,12,27,9.41,4.374074074074074,2019-11-25 12:44:00
66,4824,Device_2,Thursday,13,34,8.07,4.579705882352941,2019-11-25 13:02:00
67,4858,Device_2,Thursday,17,52,10.37,5.863653846153846,2019-11-25 17:31:00
68,4910,Device_2,Tuesday,8,178,14.64,7.783146067415734,2019-11-25 08:12:00
69,5088,Device_2,Tuesday,11,180,19.049999,12.985666677777765,2019-11-25 11:47:00
70,5268,Device_2,Tuesday,12,366,20.950001,11.709071038251345,2019-11-25 12:00:00
71,5634,Device_2,Tuesday,15,8,0.0,0.0,2019-11-25 15:42:00
72,5642,Device_2,Tuesday,16,418,17.190001000000002,9.399569373205745,2019-11-25 16:16:00
73,6060,Device_2,Tuesday,17,160,14.64,9.258124999999996,2019-11-25 17:04:00
74,6220,Device_2,Tuesday,18,2,0.64,0.64,2019-11-25 18:04:00
