uuid,weekday,date,time
Device_1,Friday,2017-07-21,6
Device_1,Monday,2017-07-17,2
Device_1,Saturday,2017-07-15,11
Device_1,Sunday,2017-07-16,4
Device_1,Thursday,2017-07-20,2
Device_1,Tuesday,2017-07-18,7
Device_1,Wednesday,2017-07-19,6
Device_2,Friday,2017-07-21,5
Device_2,Monday,2017-07-17,20
Device_2,Saturday,2017-07-15,1
Device_2,Sunday,2017-07-16,1
Device_2,Thursday,2017-07-20,5
Device_2,Tuesday,2017-07-18,18
Device_2,Wednesday,2017-07-19,4
Device_3,Friday,2017-07-21,12
Device_3,Monday,2017-07-17,7
Device_3,Sunday,2017-07-16,1
Device_3,Thursday,2017-07-20,6
Device_3,Tuesday,2017-07-18,8
Device_3,Wednesday,2017-07-19,5
Device_4,Friday,2017-07-21,7
Device_4,Monday,2017-07-17,4
Device_4,Saturday,2017-07-15,4
Device_4,Sunday,2017-07-16,1
Device_4,Thursday,2017-07-20,4
Device_4,Tuesday,2017-07-18,2
Device_4,Wednesday,2017-07-19,8
Device_5,Friday,2017-07-21,147
Device_5,Monday,2017-07-17,87
Device_5,Saturday,2017-07-15,145
Device_5,Sunday,2017-07-16,137
Device_5,Thursday,2017-07-20,129
Device_5,Tuesday,2017-07-18,182
Device_5,Wednesday,2017-07-19,183
