uuid,weekday,hour,count,max,mean,time
Device_1,Friday,8,3,0.51,0.17,2019-11-22 08:41:00
Device_1,Friday,13,7,2.70,0.81,2019-11-22 13:05:00
Device_1,Friday,15,60,3.05,1.41,2019-11-22 15:12:00
Device_1,Friday,16,25,4.20,1.76,2019-11-22 16:52:00
Device_1,Monday,8,17,2.36,1.44,2019-11-22 08:41:00
Device_1,Monday,14,1,0.00,0.00,2019-11-22 14:28:00
Device_1,Monday,16,1,6.07,6.07,2019-11-22 16:59:00
Device_1,Monday,17,1,0.99,0.99,2019-11-22 17:06:00
Device_1,Saturday,1,2,0.00,0.00,2019-11-22 01:34:00
Device_1,Saturday,10,7,1.37,1.05,2019-11-22 10:03:00
Device_1,Saturday,11,125,19.18,12.18,2019-11-22 11:39:00
Device_1,Saturday,12,4,1.89,0.47,2019-11-22 12:00:00
Device_1,Saturday,15,1,0.00,0.00,2019-11-22 15:28:00
Device_1,Saturday,16,124,15.25,10.10,2019-11-22 16:05:00
Device_1,Sunday,0,1,0.00,0.00,2019-11-22 00:28:00
Device_1,Sunday,2,1,0.00,0.00,2019-11-22 02:10:00
Device_1,Sunday,9,59,16.19,11.83,2019-11-22 09:09:00
Device_1,Sunday,10,73,15.52,8.76,2019-11-22 10:05:00
Device_1,Thursday,8,21,2.71,1.55,2019-11-22 08:42:00
Device_1,Thursday,9,1,0.00,0.00,2019-11-22 09:58:00
Device_1,Thursday,12,5,5.49,2.04,2019-11-22 12:07:00
Device_1,Thursday,16,20,3.02,1.61,2019-11-22 16:42:00
Device_1,Tuesday,8,15,2.77,1.42,2019-11-22 08:43:00
Device_1,Tuesday,9,181,22.58,5.38,2019-11-22 09:17:00
Device_1,Tuesday,10,148,2.81,1.62,2019-11-22 10:00:00
Device_1,Tuesday,11,115,2.80,1.56,2019-11-22 11:00:00
Device_1,Tuesday,12,140,19.75,11.72,2019-11-22 12:06:00
Device_1,Tuesday,13,11,1.58,0.76,2019-11-22 13:30:00
Device_1,Tuesday,14,13,5.41,1.88,2019-11-22 14:23:00
Device_1,Tuesday,16,5,1.51,0.58,2019-11-22 16:16:00
Device_1,Tuesday,20,20,2.29,1.49,2019-11-22 20:10:00
Device_1,Wednesday,8,16,1.66,1.18,2019-11-22 08:42:00
Device_1,Wednesday,9,27,17.69,11.63,2019-11-22 09:49:00
Device_1,Wednesday,10,221,19.75,5.27,2019-11-22 10:00:00
Device_1,Wednesday,11,189,2.40,1.61,2019-11-22 11:00:00
Device_1,Wednesday,12,42,2.62,1.52,2019-11-22 12:08:00
Device_1,Wednesday,13,136,5.91,1.61,2019-11-22 13:00:00
Device_1,Wednesday,14,232,20.38,8.45,2019-11-22 14:00:00
Device_1,Wednesday,15,15,20.07,13.56,2019-11-22 15:00:00
Device_1,Wednesday,16,20,2.63,1.71,2019-11-22 16:51:00
Device_1,Wednesday,22,1,0.00,0.00,2019-11-22 22:14:00
Device_2,Friday,8,243,30.92,14.79,2019-11-22 08:14:00
Device_2,Friday,10,12,8.90,5.07,2019-11-22 10:55:00
Device_2,Friday,11,55,12.66,6.62,2019-11-22 11:07:00
Device_2,Friday,15,177,30.54,11.45,2019-11-22 15:16:00
Device_2,Friday,16,133,30.48,12.15,2019-11-22 16:02:00
Device_2,Friday,17,42,14.32,7.62,2019-11-22 17:00:00
Device_2,Monday,8,134,10.02,5.61,2019-11-22 08:05:00
