uuid,latitude,longitude,altitude,speed,timestamp,time,weekday
Device_1,47.570857,-52.701491,28.434481,0,2017-07-15 01:34:00,01:34:00,Saturday
Device_1,47.57066,-52.701849,25.981262,0,2017-07-15 01:35:00,01:35:00,Saturday
Device_1,47.5714,-52.700276,4.098511,0.97,2017-07-15 10:03:00,10:03:00,Saturday
Device_1,47.571197,-52.700474,36.241333,1.37,2017-07-15 10:04:00,10:04:00,Saturday
Device_1,47.571399,-52.700621,35.026978,0.67,2017-07-15 10:04:00,10:04:00,Saturday
Device_1,47.571409,-52.701045,33.601685,0.62,2017-07-15 10:04:00,10:04:00,Saturday
Device_1,47.570582,-52.700446,31.202637,1.28,2017-07-15 10:05:00,10:05:00,Saturday
Device_1,47.570765,-52.700647,33.037415,1.27,2017-07-15 10:05:00,10:05:00,Saturday
Device_1,47.570996,-52.700626,39.112427,1.19,2017-07-15 10:05:00,10:05:00,Saturday
Device_1,47.576334,-52.70332,8.481567,13.86,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.575595,-52.702983,12.611206,12.64,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.574924,-52.702837,22.208069,12.29,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.574468,-52.70273,21.812256,11.51,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.573884,-52.702568,26.608398,10.24,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.573367,-52.702411,27.45105,8.99,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.572825,-52.702091,29.115295,7.19,2017-07-15 11:39:00,11:39:00,Saturday
Device_1,47.582752,-52.705992,31.984375,14.08,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.582289,-52.705618,28.940125,14.48,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.58185,-52.705199,26.435486,14.64,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.581191,-52.704503,22.553711,13.82,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.580655,-52.704326,23.473938,13.35,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.580156,-52.704355,21.712585,14.02,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.579398,-52.704349,18.602356,13.39,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.578693,-52.704217,12.643311,12.69,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.578063,-52.704027,6.382996,13.47,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.577437,-52.703836,7.316589,13.51,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.576865,-52.703609,4.831299,12.7,2017-07-15 11:40:00,11:40:00,Saturday
Device_1,47.586319,-52.707854,41.128052,4.43,2017-07-15 11:41:00,11:41:00,Saturday
Device_1,47.585826,-52.707454,36.212219,12.82,2017-07-15 11:41:00,11:41:00,Saturday
Device_1,47.585409,-52.707058,32.975342,14.24,2017-07-15 11:41:00,11:41:00,Saturday
Device_1,47.584686,-52.706663,33.394165,13.91,2017-07-15 11:41:00,11:41:00,Saturday
Device_1,47.583956,-52.706551,32.157837,14.46,2017-07-15 11:41:00,11:41:00,Saturday
Device_1,47.583437,-52.706427,32.509155,13.68,2017-07-15 11:41:00,11:41:00,Saturday
Device_1,47.59172,-52.709541,65.912781,13.96,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.590935,-52.709585,61.500366,14.29,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.590416,-52.709613,59.393005,14.68,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.589628,-52.709649,57.852661,14.18,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.588869,-52.70966,53.584351,14.46,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.588342,-52.709595,49.146301,13.72,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.587885,-52.709287,46.382935,14.08,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.587262,-52.708689,44.593567,13.13,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.586752,-52.708181,41.801514,9.75,2017-07-15 11:42:00,11:42:00,Saturday
Device_1,47.592228,-52.715097,62.218872,14.69,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592382,-52.714331,62.89978,14.88,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592597,-52.713205,63.94635,14.28,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592778,-52.712272,63.303833,14.35,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592916,-52.711505,61.889099,13.92,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.593007,-52.710755,65.770752,13.74,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592977,-52.709937,67.571289,10.22,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592711,-52.709486,67.092834,4.81,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.592202,-52.709512,63.486938,13.3,2017-07-15 11:43:00,11:43:00,Saturday
Device_1,47.586459,-52.722373,69.21936,16.93,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.587304,-52.72185,70.178162,17.209999,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.58809,-52.721058,63.433167,16.74,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.588555,-52.72049,63.989319,16.110001,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.589088,-52.72009,62.935181,16.07,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.589862,-52.719763,65.561462,14.56,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.590529,-52.719394,67.87085,13.61,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.590919,-52.718941,67.967773,14.32,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.591324,-52.718393,66.412598,14.78,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.591748,-52.71746,68.804321,14.04,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.591905,-52.716734,66.566284,13.96,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.592078,-52.715855,61.769775,14.79,2017-07-15 11:44:00,11:44:00,Saturday
Device_1,47.578353,-52.727922,51.277039,16.91,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.579092,-52.727172,50.89978,17.200001,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.579681,-52.726767,47.936951,17.870001,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.580494,-52.72607,54.234314,18.219999,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.581184,-52.725062,58.311035,19.18,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.581753,-52.723934,61.814758,18.200001,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.582372,-52.722978,62.117981,16.83,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.582922,-52.722542,62.385376,17.200001,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.583549,-52.722335,63.37738,17.67,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.584317,-52.722401,67.042114,17.610001,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.585273,-52.722554,67.260559,16.110001,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.585857,-52.722534,69.430542,16.469999,2017-07-15 11:45:00,11:45:00,Saturday
Device_1,47.572689,-52.735562,54.259705,14.18,2017-07-15 11:46:00,11:46:00,Saturday
Device_1,47.573095,-52.735056,55.274963,14.69,2017-07-15 11:46:00,11:46:00,Saturday
Device_1,47.573499,-52.734483,53.29303,15.47,2017-07-15 11:46:00,11:46:00,Saturday
